Date Created,Live Timing,Marketing Channel,cid,promoCode,Campaign Category,Campaign Name,utm_source*,utm_medium*,utm_campaign*,SLUG,Base URL,Full URL with UTMs
9/22/2025,,RM Email,CM/AHLD001,AHLD001,Fox Nation Dedicated Emails,September 22 - Base Club,fox,email,fox_nation_dedicated_email_base_club,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=email&utm_campaign=fox_nation_dedicated_email_base_club
9/22/2025,,RM Email,N/A,N/A,Fox Nation Dedicated Emails,September 22 - HP,fox,email,fn_dedicated_email_hp,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=email&utm_campaign=fn_dedicated_email_hp
9/17/2025,,RM Email,CM/AHLD001,AHLD001,Fox Nation Email Banners,September 17 - Base Club,fox,email,fn_email_banners_base_club,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=email&utm_campaign=fn_email_banners_base_club
9/17/2025,,RM Email,N/A,N/A,Fox Nation Email Banners,September 17 - HP,fox,email,fn_email_banners_hp,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=email&utm_campaign=fn_email_banners_hp
9/22/2025,,RM Email,CM/AHLD001,AHLD001,FOX News Dedicated Emails,September 22 - Base Club,fox,email,fox_news_dedicated_email_base_club,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=email&utm_campaign=fox_news_dedicated_email_base_club
9/22/2025,,RM Email,N/A,N/A,FOX News Dedicated Emails,September 22 - HP,fox,email,fox_news_dedicated_email_hp,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=email&utm_campaign=fox_news_dedicated_email_hp
9/18/2025,,RM Email,CM/AHLD001,AHLD001,FOX News Email Banners,September 18 - Base Club,fox,email,fox_news_email_banners_base_club,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=email&utm_campaign=fox_news_email_banners_base_club
9/16/2025,,RM Display,CM/AHLD001,AHLD001,FOXNews.com Banner Ads,September 16 - Base Club,fox,website,banner_ads_base_club,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=website&utm_campaign=banner_ads_base_club#/
9/16/2025,,RM Display,N/A,N/A,FOXNews.com Banner Ads,September 16 - HP,fox,website,banner_ads_hp,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=website&utm_campaign=banner_ads_hp
10/15/2025,11/1/2025,RM Email,N/A,N/A,FOX News Dedicated Emails,October 15 - HP,fox,email,fox_news_dedicated_email_hp_11012025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=email&utm_campaign=fox_news_dedicated_email_hp_11012025
10/15/2025,11/1/2025,RM Email,CM/AHLD001,AHLD001,FOX News Dedicated Emails,October 15 - Base Club,fox,email,fox_news_dedicated_email_base_club_11012025,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=email&utm_campaign=fox_news_dedicated_email_base_club_11012025
